subject_race,reason_for_stop,arrests,total,arrest_rate
asian/pacific islander,Checkpoint,9,80,11.25
asian/pacific islander,Driving While Impaired,249,444,56.08
asian/pacific islander,Investigation,68,1745,3.9
asian/pacific islander,Other Motor Vehicle Violation,56,2615,2.14
asian/pacific islander,Safe Movement Violation,67,5801,1.15
asian/pacific islander,Seat Belt Violation,22,1819,1.21
asian/pacific islander,Speed Limit Violation,202,27826,0.73
asian/pacific islander,Stop Light/Sign Violation,45,7924,0.57
asian/pacific islander,Vehicle Equipment Violation,67,6259,1.07
asian/pacific islander,Vehicle Regulatory Violation,124,12689,0.98
black,Checkpoint,301,5446,5.53
black,Driving While Impaired,5011,8908,56.25
black,Investigation,9997,100503,9.95
black,Other Motor Vehicle Violation,6385,118229,5.4
black,Safe Movement Violation,4041,122087,3.31
black,Seat Belt Violation,2727,85254,3.2
black,Speed Limit Violation,7392,565639,1.31
black,Stop Light/Sign Violation,2987,140562,2.13
black,Vehicle Equipment Violation,7577,275714,2.75
black,Vehicle Regulatory Violation,17720,713354,2.48
hispanic,Checkpoint,73,3195,2.28
hispanic,Driving While Impaired,4962,6632,74.82
hispanic,Investigation,1723,30652,5.62
hispanic,Other Motor Vehicle Violation,1586,37438,4.24
hispanic,Safe Movement Violation,1550,26967,5.75
hispanic,Seat Belt Violation,286,11271,2.54
hispanic,Speed Limit Violation,2235,97572,2.29
hispanic,Stop Light/Sign Violation,792,29569,2.68
hispanic,Vehicle Equipment Violation,1455,46924,3.1
hispanic,Vehicle Regulatory Violation,2789,101692,2.74
white,Checkpoint,241,2163,11.14
white,Driving While Impaired,9916,14275,69.46
white,Investigation,3101,44765,6.93
white,Other Motor Vehicle Violation,2145,71694,2.99
white,Safe Movement Violation,2703,104316,2.59
white,Seat Belt Violation,647,57494,1.13
white,Speed Limit Violation,5175,670107,0.77
white,Stop Light/Sign Violation,1475,133571,1.1
white,Vehicle Equipment Violation,2097,134275,1.56
white,Vehicle Regulatory Violation,4707,435887,1.08
