feature,protected,metric,value
reason_for_stop,subject_race,Cramér's V,0.1154
search_conducted,subject_sex,Cramér's V,0.1072
reason_for_stop,subject_sex,Cramér's V,0.0933
search_conducted,subject_race,Cramér's V,0.0801
city,subject_race,Cramér's V,0.0673
day_of_week,subject_sex,Cramér's V,0.0304
day_of_week,subject_race,Cramér's V,0.0298
city,subject_sex,Cramér's V,0.0217
subject_age,subject_race,η²,0.0109
year,subject_race,η²,0.0034
year,subject_sex,η²,0.0016
hour,subject_race,η²,0.0003
hour,subject_sex,η²,0.0002
subject_age,subject_sex,η²,0.0001
month,subject_race,η²,0.0
month,subject_sex,η²,0.0
